en
S,en,Ukraine,ru,Р Р€Р С”РЎР‚Р В°Р С‘Р Р…Р В°,ru,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р В°
T,en,CHernelitsja,ru,Р В§Р ВµРЎР‚Р Р…Р ВµР В»Р С‘РЎвЂ РЎРЏ,ua,Р В§Р ВµРЎР‚Р Р…Р ВµР В»Р С‘РЎвЂ РЎРЏ
T,en,CHernjatin,ru,Р В§Р ВµРЎР‚Р Р…РЎРЏРЎвЂљР С‘Р Р…,ua,Р В§Р ВµРЎР‚Р Р…РЎРЏРЎвЂљР С‘Р Р…
T,en,CHortovets',ru,Р В§Р С•РЎР‚РЎвЂљР С•Р Р†Р ВµРЎвЂ РЎРЉ,ua,Р В§Р С•РЎР‚РЎвЂљР С•Р Р†Р ВµРЎвЂ РЎРЉ
T,en,JAseniv-pil'nij,ru,Р Р‡РЎРѓР ВµР Р…iР Р†-Р СџiР В»РЎРЉР Р…Р С‘Р в„–,ua,Р Р‡РЎРѓР ВµР Р…iР Р†-Р СџiР В»РЎРЉР Р…Р С‘Р в„–
T,en,Beleyiv,ru,Р вЂ?Р ВµР В»Р ВµРЎвЂ”Р Р†,ua,Р вЂ?Р ВµР В»Р ВµРЎвЂ”Р Р†
T,en,Velika tur'JA,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р СћРЎС“РЎР‚'Р Р‡,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р СћРЎС“РЎР‚'Р Р‡
T,en,Vigoda,ru,Р вЂ™Р С‘Р С–Р С•Р Т‘Р В°,ua,Р вЂ™Р С‘Р С–Р С•Р Т‘Р В°
T,en,Vitvitsja,ru,Р вЂ™Р С‘РЎвЂљР Р†Р С‘РЎвЂ РЎРЏ,ua,Р вЂ™Р С‘РЎвЂљР Р†Р С‘РЎвЂ РЎРЏ
T,en,Vishkiv,ru,Р вЂ™Р С‘РЎв‚¬Р С”iР Р†,ua,Р вЂ™Р С‘РЎв‚¬Р С”iР Р†
T,en,Gerinja,ru,Р вЂњР ВµРЎР‚Р С‘Р Р…РЎРЏ,ua,Р вЂњР ВµРЎР‚Р С‘Р Р…РЎРЏ
T,en,Goshiv,ru,Р вЂњР С•РЎв‚¬iР Р†,ua,Р вЂњР С•РЎв‚¬iР Р†
T,en,Dolina,ru,Р вЂќР С•Р В»Р С‘Р Р…Р В°,ua,Р вЂќР С•Р В»Р С‘Р Р…Р В°
T,en,Kal'na,ru,Р С™Р В°Р В»РЎРЉР Р…Р В°,ua,Р С™Р В°Р В»РЎРЉР Р…Р В°
T,en,Knjazholuka,ru,Р С™Р Р…РЎРЏР В¶Р С•Р В»РЎС“Р С”Р В°,ua,Р С™Р Р…РЎРЏР В¶Р С•Р В»РЎС“Р С”Р В°
T,en,Kropivnik,ru,Р С™РЎР‚Р С•Р С—Р С‘Р Р†Р Р…Р С‘Р С”,ua,Р С™РЎР‚Р С•Р С—Р С‘Р Р†Р Р…Р С‘Р С”
T,en,Lolin,ru,Р вЂєР С•Р В»Р С‘Р Р…,ua,Р вЂєР С•Р В»Р С‘Р Р…
T,en,Maksimivka,ru,Р СљР В°Р С”РЎРѓР С‘Р С?iР Р†Р С”Р В°,ua,Р СљР В°Р С”РЎРѓР С‘Р С?iР Р†Р С”Р В°
T,en,Mala tur'JA,ru,Р СљР В°Р В»Р В° Р СћРЎС“РЎР‚'Р Р‡,ua,Р СљР В°Р В»Р В° Р СћРЎС“РЎР‚'Р Р‡
T,en,Mislivka,ru,Р СљР С‘РЎРѓР В»iР Р†Р С”Р В°,ua,Р СљР С‘РЎРѓР В»iР Р†Р С”Р В°
T,en,Nadiyiv,ru,Р СњР В°Р Т‘iРЎвЂ”Р Р†,ua,Р СњР В°Р Т‘iРЎвЂ”Р Р†
T,en,Novichka,ru,Р СњР С•Р Р†Р С‘РЎвЂЎР С”Р В°,ua,Р СњР С•Р Р†Р С‘РЎвЂЎР С”Р В°
T,en,Novoselitsja,ru,Р СњР С•Р Р†Р С•РЎРѓР ВµР В»Р С‘РЎвЂ РЎРЏ,ua,Р СњР С•Р Р†Р С•РЎРѓР ВµР В»Р С‘РЎвЂ РЎРЏ
T,en,Novoshin,ru,Р СњР С•Р Р†Р С•РЎв‚¬Р С‘Р Р…,ua,Р СњР С•Р Р†Р С•РЎв‚¬Р С‘Р Р…
T,en,Obolonnja,ru,Р С›Р В±Р С•Р В»Р С•Р Р…Р Р…РЎРЏ,ua,Р С›Р В±Р С•Р В»Р С•Р Р…Р Р…РЎРЏ
T,en,Patsikiv,ru,Р СџР В°РЎвЂ Р С‘Р С”iР Р†,ua,Р СџР В°РЎвЂ Р С‘Р С”iР Р†
T,en,Pidliski,ru,Р СџiР Т‘Р В»iРЎРѓР С”Р С‘,ua,Р СџiР Т‘Р В»iРЎРѓР С”Р С‘
T,en,Pshenichniki,ru,Р СџРЎв‚¬Р ВµР Р…Р С‘РЎвЂЎР Р…Р С‘Р С”Р С‘,ua,Р СџРЎв‚¬Р ВµР Р…Р С‘РЎвЂЎР Р…Р С‘Р С”Р С‘
T,en,Rakiv,ru,Р В Р В°Р С”iР Р†,ua,Р В Р В°Р С”iР Р†
T,en,Rahinja,ru,Р В Р В°РЎвЂ¦Р С‘Р Р…РЎРЏ,ua,Р В Р В°РЎвЂ¦Р С‘Р Р…РЎРЏ
T,en,Roztochki,ru,Р В Р С•Р В·РЎвЂљР С•РЎвЂЎР С”Р С‘,ua,Р В Р С•Р В·РЎвЂљР С•РЎвЂЎР С”Р С‘
T,en,Senechiv,ru,Р РЋР ВµР Р…Р ВµРЎвЂЎiР Р†,ua,Р РЋР ВµР Р…Р ВµРЎвЂЎiР Р†
T,en,Sloboda-bolehivs'ka,ru,Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°-Р вЂ?Р С•Р В»Р ВµРЎвЂ¦iР Р†РЎРѓРЎРЉР С”Р В°,ua,Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°-Р вЂ?Р С•Р В»Р ВµРЎвЂ¦iР Р†РЎРѓРЎРЉР С”Р В°
T,en,Sloboda-dolins'ka,ru,Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°-Р вЂќР С•Р В»Р С‘Р Р…РЎРѓРЎРЉР С”Р В°,ua,Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°-Р вЂќР С•Р В»Р С‘Р Р…РЎРѓРЎРЉР С”Р В°
T,en,Solukiv,ru,Р РЋР С•Р В»РЎС“Р С”iР Р†,ua,Р РЋР С•Р В»РЎС“Р С”iР Р†
T,en,Stankivtsi,ru,Р РЋРЎвЂљР В°Р Р…Р С”iР Р†РЎвЂ i,ua,Р РЋРЎвЂљР В°Р Р…Р С”iР Р†РЎвЂ i
T,en,Starij mizun',ru,Р РЋРЎвЂљР В°РЎР‚Р С‘Р в„– Р СљiР В·РЎС“Р Р…РЎРЉ,ua,Р РЋРЎвЂљР В°РЎР‚Р С‘Р в„– Р СљiР В·РЎС“Р Р…РЎРЉ
T,en,Trostjanets',ru,Р СћРЎР‚Р С•РЎРѓРЎвЂљРЎРЏР Р…Р ВµРЎвЂ РЎРЉ,ua,Р СћРЎР‚Р С•РЎРѓРЎвЂљРЎРЏР Р…Р ВµРЎвЂ РЎРЉ
T,en,Tjapche,ru,Р СћРЎРЏР С—РЎвЂЎР Вµ,ua,Р СћРЎРЏР С—РЎвЂЎР Вµ
T,en,Tserkovna,ru,Р В¦Р ВµРЎР‚Р С”Р С•Р Р†Р Р…Р В°,ua,Р В¦Р ВµРЎР‚Р С”Р С•Р Р†Р Р…Р В°
T,en,Shevchenkove,ru,Р РЃР ВµР Р†РЎвЂЎР ВµР Р…Р С”Р С•Р Р†Р Вµ,ua,Р РЃР ВµР Р†РЎвЂЎР ВµР Р…Р С”Р С•Р Р†Р Вµ
T,en,JAvoriv,ru,Р Р‡Р Р†Р С•РЎР‚iР Р†,ua,Р Р‡Р Р†Р С•РЎР‚iР Р†
T,en,JAkubiv,ru,Р Р‡Р С”РЎС“Р В±iР Р†,ua,Р Р‡Р С”РЎС“Р В±iР Р†
T,en,Vovchinets',ru,Р вЂ™Р С•Р Р†РЎвЂЎР С‘Р Р…Р ВµРЎвЂ РЎРЉ,ua,Р вЂ™Р С•Р Р†РЎвЂЎР С‘Р Р…Р ВµРЎвЂ РЎРЉ
T,en,Ivano-frankivs'k,ru,IР Р†Р В°Р Р…Р С•-Р В¤РЎР‚Р В°Р Р…Р С”iР Р†РЎРѓРЎРЉР С”,ua,IР Р†Р В°Р Р…Р С•-Р В¤РЎР‚Р В°Р Р…Р С”iР Р†РЎРѓРЎРЉР С”
T,en,Krihivtsi,ru,Р С™РЎР‚Р С‘РЎвЂ¦iР Р†РЎвЂ i,ua,Р С™РЎР‚Р С‘РЎвЂ¦iР Р†РЎвЂ i
T,en,Mikitintsi,ru,Р СљР С‘Р С”Р С‘РЎвЂљР С‘Р Р…РЎвЂ i,ua,Р СљР С‘Р С”Р С‘РЎвЂљР С‘Р Р…РЎвЂ i
T,en,Ugorniki,ru,Р Р€Р С–Р С•РЎР‚Р Р…Р С‘Р С”Р С‘,ua,Р Р€Р С–Р С•РЎР‚Р Р…Р С‘Р С”Р С‘
T,en,Hriplin,ru,Р ТђРЎР‚Р С‘Р С—Р В»Р С‘Р Р…,ua,Р ТђРЎР‚Р С‘Р С—Р В»Р С‘Р Р…
T,en,Berezhnitsja,ru,Р вЂ?Р ВµРЎР‚Р ВµР В¶Р Р…Р С‘РЎвЂ РЎРЏ,ua,Р вЂ?Р ВµРЎР‚Р ВµР В¶Р Р…Р С‘РЎвЂ РЎРЏ
T,en,Bodnariv,ru,Р вЂ?Р С•Р Т‘Р Р…Р В°РЎР‚iР Р†,ua,Р вЂ?Р С•Р Т‘Р Р…Р В°РЎР‚iР Р†
T,en,Verhnja,ru,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…РЎРЏ,ua,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…РЎРЏ
T,en,Vistova,ru,Р вЂ™iРЎРѓРЎвЂљР С•Р Р†Р В°,ua,Р вЂ™iРЎРѓРЎвЂљР С•Р Р†Р В°
T,en,Vojniliv,ru,Р вЂ™Р С•Р в„–Р Р…Р С‘Р В»iР Р†,ua,Р вЂ™Р С•Р в„–Р Р…Р С‘Р В»iР Р†
T,en,Golin',ru,Р вЂњР С•Р В»Р С‘Р Р…РЎРЉ,ua,Р вЂњР С•Р В»Р С‘Р Р…РЎРЉ
T,en,Grabivka,ru,Р вЂњРЎР‚Р В°Р В±iР Р†Р С”Р В°,ua,Р вЂњРЎР‚Р В°Р В±iР Р†Р С”Р В°
T,en,Gumeniv,ru,Р вЂњРЎС“Р С?Р ВµР Р…iР Р†,ua,Р вЂњРЎС“Р С?Р ВµР Р…iР Р†
T,en,Dobrovljani,ru,Р вЂќР С•Р В±РЎР‚Р С•Р Р†Р В»РЎРЏР Р…Р С‘,ua,Р вЂќР С•Р В±РЎР‚Р С•Р Р†Р В»РЎРЏР Р…Р С‘
T,en,Dovge-kalus'ke,ru,Р вЂќР С•Р Р†Р С–Р Вµ-Р С™Р В°Р В»РЎС“РЎРѓРЎРЉР С”Р Вµ,ua,Р вЂќР С•Р Р†Р С–Р Вµ-Р С™Р В°Р В»РЎС“РЎРѓРЎРЉР С”Р Вµ
T,en,Dovgij vojniliv,ru,Р вЂќР С•Р Р†Р С–Р С‘Р в„– Р вЂ™Р С•Р в„–Р Р…Р С‘Р В»iР Р†,ua,Р вЂќР С•Р Р†Р С–Р С‘Р в„– Р вЂ™Р С•Р в„–Р Р…Р С‘Р В»iР Р†
T,en,Dovpotiv,ru,Р вЂќР С•Р Р†Р С—Р С•РЎвЂљiР Р†,ua,Р вЂќР С•Р Р†Р С—Р С•РЎвЂљiР Р†
T,en,Zavadka,ru,Р вЂ”Р В°Р Р†Р В°Р Т‘Р С”Р В°,ua,Р вЂ”Р В°Р Р†Р В°Р Т‘Р С”Р В°
T,en,Zavij,ru,Р вЂ”Р В°Р Р†iР в„–,ua,Р вЂ”Р В°Р Р†iР в„–
T,en,Zbora,ru,Р вЂ”Р В±Р С•РЎР‚Р В°,ua,Р вЂ”Р В±Р С•РЎР‚Р В°
T,en,Kadobna,ru,Р С™Р В°Р Т‘Р С•Р В±Р Р…Р В°,ua,Р С™Р В°Р Т‘Р С•Р В±Р Р…Р В°
T,en,Kalush,ru,Р С™Р В°Р В»РЎС“РЎв‚¬,ua,Р С™Р В°Р В»РЎС“РЎв‚¬
T,en,Kopanki,ru,Р С™Р С•Р С—Р В°Р Р…Р С”Р С‘,ua,Р С™Р С•Р С—Р В°Р Р…Р С”Р С‘
T,en,Misliv,ru,Р СљР С‘РЎРѓР В»iР Р†,ua,Р СљР С‘РЎРѓР В»iР Р†
T,en,Mostische,ru,Р СљР С•РЎРѓРЎвЂљР С‘РЎвЂ°Р Вµ,ua,Р СљР С•РЎРѓРЎвЂљР С‘РЎвЂ°Р Вµ
T,en,Negivtsi,ru,Р СњР ВµР С–iР Р†РЎвЂ i,ua,Р СњР ВµР С–iР Р†РЎвЂ i
T,en,Novitsja,ru,Р СњР С•Р Р†Р С‘РЎвЂ РЎРЏ,ua,Р СњР С•Р Р†Р С‘РЎвЂ РЎРЏ
T,en,Perevozets',ru,Р СџР ВµРЎР‚Р ВµР Р†Р С•Р В·Р ВµРЎвЂ РЎРЉ,ua,Р СџР ВµРЎР‚Р ВµР Р†Р С•Р В·Р ВµРЎвЂ РЎРЉ
T,en,Perekosi,ru,Р СџР ВµРЎР‚Р ВµР С”Р С•РЎРѓР С‘,ua,Р СџР ВµРЎР‚Р ВµР С”Р С•РЎРѓР С‘
T,en,Pidmihajlja,ru,Р СџiР Т‘Р С?Р С‘РЎвЂ¦Р В°Р в„–Р В»РЎРЏ,ua,Р СџiР Т‘Р С?Р С‘РЎвЂ¦Р В°Р в„–Р В»РЎРЏ
T,en,Pijlo,ru,Р СџiР в„–Р В»Р С•,ua,Р СџiР в„–Р В»Р С•
T,en,Rip'JAnka,ru,Р В iР С—'Р Р‡Р Р…Р С”Р В°,ua,Р В iР С—'Р Р‡Р Р…Р С”Р В°
T,en,Serednij babin,ru,Р РЋР ВµРЎР‚Р ВµР Т‘Р Р…iР в„– Р вЂ?Р В°Р В±Р С‘Р Р…,ua,Р РЋР ВµРЎР‚Р ВµР Т‘Р Р…iР в„– Р вЂ?Р В°Р В±Р С‘Р Р…
T,en,Serednij ugriniv,ru,Р РЋР ВµРЎР‚Р ВµР Т‘Р Р…iР в„– Р Р€Р С–РЎР‚Р С‘Р Р…iР Р†,ua,Р РЋР ВµРЎР‚Р ВµР Т‘Р Р…iР в„– Р Р€Р С–РЎР‚Р С‘Р Р…iР Р†
T,en,Sivka-vojnilivs'ka,ru,Р РЋiР Р†Р С”Р В°-Р вЂ™Р С•Р в„–Р Р…Р С‘Р В»iР Р†РЎРѓРЎРЉР С”Р В°,ua,Р РЋiР Р†Р С”Р В°-Р вЂ™Р С•Р в„–Р Р…Р С‘Р В»iР Р†РЎРѓРЎРЉР С”Р В°
T,en,Sivka-kalus'ka,ru,Р РЋiР Р†Р С”Р В°-Р С™Р В°Р В»РЎС“РЎРѓРЎРЉР С”Р В°,ua,Р РЋiР Р†Р С”Р В°-Р С™Р В°Р В»РЎС“РЎРѓРЎРЉР С”Р В°
T,en,Stan'kova,ru,Р РЋРЎвЂљР В°Р Р…РЎРЉР С”Р С•Р Р†Р В°,ua,Р РЋРЎвЂљР В°Р Р…РЎРЉР С”Р С•Р Р†Р В°
T,en,Starij ugriniv,ru,Р РЋРЎвЂљР В°РЎР‚Р С‘Р в„– Р Р€Р С–РЎР‚Р С‘Р Р…iР Р†,ua,Р РЋРЎвЂљР В°РЎР‚Р С‘Р в„– Р Р€Р С–РЎР‚Р С‘Р Р…iР Р†
T,en,Studinka,ru,Р РЋРЎвЂљРЎС“Р Т‘iР Р…Р С”Р В°,ua,Р РЋРЎвЂљРЎС“Р Т‘iР Р…Р С”Р В°
T,en,Tomashivtsi,ru,Р СћР С•Р С?Р В°РЎв‚¬iР Р†РЎвЂ i,ua,Р СћР С•Р С?Р В°РЎв‚¬iР Р†РЎвЂ i
T,en,Tuzhiliv,ru,Р СћРЎС“Р В¶Р С‘Р В»iР Р†,ua,Р СћРЎС“Р В¶Р С‘Р В»iР Р†
T,en,Tsvitova,ru,Р В¦Р Р†iРЎвЂљР С•Р Р†Р В°,ua,Р В¦Р Р†iРЎвЂљР С•Р Р†Р В°
T,en,Bab'JAnka,ru,Р вЂ?Р В°Р В±'Р Р‡Р Р…Р С”Р В°,ua,Р вЂ?Р В°Р В±'Р Р‡Р Р…Р С”Р В°
T,en,Bogorodichin,ru,Р вЂ?Р С•Р С–Р С•РЎР‚Р С•Р Т‘Р С‘РЎвЂЎР С‘Р Р…,ua,Р вЂ?Р С•Р С–Р С•РЎР‚Р С•Р Т‘Р С‘РЎвЂЎР С‘Р Р…
T,en,Velika kam'JAnka,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р С™Р В°Р С?'Р Р‡Р Р…Р С”Р В°,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р С™Р В°Р С?'Р Р‡Р Р…Р С”Р В°
T,en,Velikij kljuchiv,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р С™Р В»РЎР‹РЎвЂЎiР Р†,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р С™Р В»РЎР‹РЎвЂЎiР Р†
T,en,Verhnij verbizh,ru,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…iР в„– Р вЂ™Р ВµРЎР‚Р В±iР В¶,ua,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…iР в„– Р вЂ™Р ВµРЎР‚Р В±iР В¶
T,en,Vorona,ru,Р вЂ™Р С•РЎР‚Р С•Р Р…Р В°,ua,Р вЂ™Р С•РЎР‚Р С•Р Р…Р В°
T,en,Voskresintsi,ru,Р вЂ™Р С•РЎРѓР С”РЎР‚Р ВµРЎРѓР С‘Р Р…РЎвЂ i,ua,Р вЂ™Р С•РЎРѓР С”РЎР‚Р ВµРЎРѓР С‘Р Р…РЎвЂ i
T,en,Ganniv,ru,Р вЂњР В°Р Р…Р Р…iР Р†,ua,Р вЂњР В°Р Р…Р Р…iР Р†
T,en,Gvizdets',ru,Р вЂњР Р†iР В·Р Т‘Р ВµРЎвЂ РЎРЉ,ua,Р вЂњР Р†iР В·Р Т‘Р ВµРЎвЂ РЎРЉ
T,en,Godi-dobrovidka,ru,Р вЂњР С•Р Т‘Р С‘-Р вЂќР С•Р В±РЎР‚Р С•Р Р†iР Т‘Р С”Р В°,ua,Р вЂњР С•Р Т‘Р С‘-Р вЂќР С•Р В±РЎР‚Р С•Р Р†iР Т‘Р С”Р В°
T,en,Goloskiv,ru,Р вЂњР С•Р В»Р С•РЎРѓР С”iР Р†,ua,Р вЂњР С•Р В»Р С•РЎРѓР С”iР Р†
T,en,Grabich,ru,Р вЂњРЎР‚Р В°Р В±Р С‘РЎвЂЎ,ua,Р вЂњРЎР‚Р В°Р В±Р С‘РЎвЂЎ
T,en,Grushiv,ru,Р вЂњРЎР‚РЎС“РЎв‚¬iР Р†,ua,Р вЂњРЎР‚РЎС“РЎв‚¬iР Р†
T,en,Debeslavtsi,ru,Р вЂќР ВµР В±Р ВµРЎРѓР В»Р В°Р Р†РЎвЂ i,ua,Р вЂќР ВµР В±Р ВµРЎРѓР В»Р В°Р Р†РЎвЂ i
T,en,Dzhurkiv,ru,Р вЂќР В¶РЎС“РЎР‚Р С”iР Р†,ua,Р вЂќР В¶РЎС“РЎР‚Р С”iР Р†
T,en,Zhukotin,ru,Р вЂ“РЎС“Р С”Р С•РЎвЂљР С‘Р Р…,ua,Р вЂ“РЎС“Р С”Р С•РЎвЂљР С‘Р Р…
T,en,Zagajpil',ru,Р вЂ”Р В°Р С–Р В°Р в„–Р С—iР В»РЎРЉ,ua,Р вЂ”Р В°Р С–Р В°Р в„–Р С—iР В»РЎРЉ
T,en,Zaluchchja,ru,Р вЂ”Р В°Р В»РЎС“РЎвЂЎРЎвЂЎРЎРЏ,ua,Р вЂ”Р В°Р В»РЎС“РЎвЂЎРЎвЂЎРЎРЏ
T,en,Zamulintsi,ru,Р вЂ”Р В°Р С?РЎС“Р В»Р С‘Р Р…РЎвЂ i,ua,Р вЂ”Р В°Р С?РЎС“Р В»Р С‘Р Р…РЎвЂ i
T,en,Ivanivka,ru,IР Р†Р В°Р Р…iР Р†Р С”Р В°,ua,IР Р†Р В°Р Р…iР Р†Р С”Р В°
T,en,Kazaniv,ru,Р С™Р В°Р В·Р В°Р Р…iР Р†,ua,Р С™Р В°Р В·Р В°Р Р…iР Р†
T,en,Kijdantsi,ru,Р С™Р С‘Р в„–Р Т‘Р В°Р Р…РЎвЂ i,ua,Р С™Р С‘Р в„–Р Т‘Р В°Р Р…РЎвЂ i
T,en,Knjazhdvir,ru,Р С™Р Р…РЎРЏР В¶Р Т‘Р Р†iРЎР‚,ua,Р С™Р Р…РЎРЏР В¶Р Т‘Р Р†iРЎР‚
T,en,Kobilets',ru,Р С™Р С•Р В±Р С‘Р В»Р ВµРЎвЂ РЎРЉ,ua,Р С™Р С•Р В±Р С‘Р В»Р ВµРЎвЂ РЎРЉ
T,en,Kovalivka,ru,Р С™Р С•Р Р†Р В°Р В»iР Р†Р С”Р В°,ua,Р С™Р С•Р Р†Р В°Р В»iР Р†Р С”Р В°
T,en,Kolomija,ru,Р С™Р С•Р В»Р С•Р С?Р С‘РЎРЏ,ua,Р С™Р С•Р В»Р С•Р С?Р С‘РЎРЏ
T,en,Kornich,ru,Р С™Р С•РЎР‚Р Р…Р С‘РЎвЂЎ,ua,Р С™Р С•РЎР‚Р Р…Р С‘РЎвЂЎ
T,en,Korolivka,ru,Р С™Р С•РЎР‚Р С•Р В»iР Р†Р С”Р В°,ua,Р С™Р С•РЎР‚Р С•Р В»iР Р†Р С”Р В°
T,en,Korshiv,ru,Р С™Р С•РЎР‚РЎв‚¬iР Р†,ua,Р С™Р С•РЎР‚РЎв‚¬iР Р†
T,en,Kropivische,ru,Р С™РЎР‚Р С•Р С—Р С‘Р Р†Р С‘РЎвЂ°Р Вµ,ua,Р С™РЎР‚Р С•Р С—Р С‘Р Р†Р С‘РЎвЂ°Р Вµ
T,en,Liski,ru,Р вЂєiРЎРѓР С”Р С‘,ua,Р вЂєiРЎРѓР С”Р С‘
T,en,Lisna slobidka,ru,Р вЂєiРЎРѓР Р…Р В° Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°,ua,Р вЂєiРЎРѓР Р…Р В° Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°
T,en,Lisnij hlibichin,ru,Р вЂєiРЎРѓР Р…Р С‘Р в„– Р ТђР В»iР В±Р С‘РЎвЂЎР С‘Р Р…,ua,Р вЂєiРЎРѓР Р…Р С‘Р в„– Р ТђР В»iР В±Р С‘РЎвЂЎР С‘Р Р…
T,en,Mala kam'JAnka,ru,Р СљР В°Р В»Р В° Р С™Р В°Р С?'Р Р‡Р Р…Р С”Р В°,ua,Р СљР В°Р В»Р В° Р С™Р В°Р С?'Р Р‡Р Р…Р С”Р В°
T,en,Mala slobidka,ru,Р СљР В°Р В»Р В° Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°,ua,Р СљР В°Р В»Р В° Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°
T,en,Malij gvizdets',ru,Р СљР В°Р В»Р С‘Р в„– Р вЂњР Р†iР В·Р Т‘Р ВµРЎвЂ РЎРЉ,ua,Р СљР В°Р В»Р С‘Р в„– Р вЂњР Р†iР В·Р Т‘Р ВµРЎвЂ РЎРЉ
T,en,Malij kljuchiv,ru,Р СљР В°Р В»Р С‘Р в„– Р С™Р В»РЎР‹РЎвЂЎiР Р†,ua,Р СљР В°Р В»Р С‘Р в„– Р С™Р В»РЎР‹РЎвЂЎiР Р†
T,en,Markivka,ru,Р СљР В°РЎР‚Р С”iР Р†Р С”Р В°,ua,Р СљР В°РЎР‚Р С”iР Р†Р С”Р В°
T,en,Mateyivtsi,ru,Р СљР В°РЎвЂљР ВµРЎвЂ”Р Р†РЎвЂ i,ua,Р СљР В°РЎвЂљР ВµРЎвЂ”Р Р†РЎвЂ i
T,en,Mishin,ru,Р СљР С‘РЎв‚¬Р С‘Р Р…,ua,Р СљР С‘РЎв‚¬Р С‘Р Р…
T,en,Molodiliv,ru,Р СљР С•Р В»Р С•Р Т‘Р С‘Р В»iР Р†,ua,Р СљР С•Р В»Р С•Р Т‘Р С‘Р В»iР Р†
T,en,Molodjatin,ru,Р СљР С•Р В»Р С•Р Т‘РЎРЏРЎвЂљР С‘Р Р…,ua,Р СљР С•Р В»Р С•Р Т‘РЎРЏРЎвЂљР С‘Р Р…
T,en,Nazirna,ru,Р СњР В°Р В·iРЎР‚Р Р…Р В°,ua,Р СњР В°Р В·iРЎР‚Р Р…Р В°
T,en,Nizhnij verbizh,ru,Р СњР С‘Р В¶Р Р…iР в„– Р вЂ™Р ВµРЎР‚Р В±iР В¶,ua,Р СњР С‘Р В¶Р Р…iР в„– Р вЂ™Р ВµРЎР‚Р В±iР В¶
T,en,Nizhnja velesnitsja,ru,Р СњР С‘Р В¶Р Р…РЎРЏ Р вЂ™Р ВµР В»Р ВµРЎРѓР Р…Р С‘РЎвЂ РЎРЏ,ua,Р СњР С‘Р В¶Р Р…РЎРЏ Р вЂ™Р ВµР В»Р ВµРЎРѓР Р…Р С‘РЎвЂ РЎРЏ
T,en,Ostapkivtsi,ru,Р С›РЎРѓРЎвЂљР В°Р С—Р С”iР Р†РЎвЂ i,ua,Р С›РЎРѓРЎвЂљР В°Р С—Р С”iР Р†РЎвЂ i
T,en,Otinija,ru,Р С›РЎвЂљР С‘Р Р…iРЎРЏ,ua,Р С›РЎвЂљР С‘Р Р…iРЎРЏ
T,en,Pereriv,ru,Р СџР ВµРЎР‚Р ВµРЎР‚Р С‘Р Р†,ua,Р СџР ВµРЎР‚Р ВµРЎР‚Р С‘Р Р†
